Episode,Steps,Reward,AvgSpeed,Energy,Success
1,6,-92.42,24.07,88.15,0
2,6,-92.75,21.99,31.15,0
3,4,-91.37,14.11,24.04,0
4,2,-90.58,7.06,17.39,0
5,4,-90.68,12.87,5.71,0
6,8,85.94,31.12,81.61,1
7,8,86.11,30.71,64.64,1
8,6,-92.58,21.16,10.14,0
9,1,-90.00,0.00,0.00,0
10,7,-93.08,28.22,109.89,0
11,16,-95.16,21.16,10.14,0
12,4,-91.06,14.11,24.04,0
13,3,-91.45,10.38,20.73,0
14,3,-90.86,9.96,16.20,0
15,7,-92.85,26.56,52.63,0
16,8,-93.35,0.00,0.00,0
17,1,-90.00,0.00,0.00,0
18,4,-91.62,13.70,17.73,0
19,4,-91.66,14.94,37.30,0
20,3,-90.69,9.96,16.20,0
21,1,-90.00,0.00,0.00,0
22,7,86.90,28.63,124.95,1
23,1,-90.00,0.00,0.00,0
24,5,-92.56,17.43,15.84,0
25,6,-92.27,21.99,31.15,0
26,5,-91.95,20.34,78.47,0
27,7,-93.54,27.39,80.67,0
28,7,-92.97,26.56,52.63,0
29,1,-90.00,0.00,0.00,0
30,20,-95.14,0.00,0.00,0
31,17,-94.83,14.94,37.30,0
32,9,-92.28,15.36,44.25,0
33,6,-92.67,24.07,88.15,0
34,1,-90.27,3.74,7.98,0
35,6,-92.33,21.16,10.14,0
36,6,-92.20,24.07,88.15,0
37,20,-96.33,12.87,5.71,0
38,3,-90.86,9.96,16.20,0
39,6,-91.98,23.65,76.23,0
40,1,-90.00,0.00,0.00,0
41,4,-91.10,14.11,24.04,0
42,6,-92.13,21.16,10.14,0
43,12,-94.35,21.16,10.14,0
44,5,-92.01,0.00,0.00,0
45,6,-92.42,24.07,88.15,0
46,3,-90.92,9.55,11.87,0
47,2,-90.23,2.08,2.68,0
48,5,-91.67,0.00,0.00,0
49,2,-90.27,5.40,6.37,0
50,6,-92.98,23.24,64.57,0
51,3,-90.92,12.04,40.78,0
52,6,-92.34,22.41,42.03,0
53,6,-92.74,22.41,42.03,0
54,6,-91.55,0.00,0.00,0
55,8,-92.64,0.00,0.00,0
56,3,-90.66,10.38,20.73,0
57,1,-90.00,0.00,0.00,0
58,5,-91.34,15.77,51.41,0
59,7,-92.50,28.63,124.95,0
60,5,-91.13,15.77,51.41,0
61,8,-92.86,11.21,30.36,0
62,5,-91.30,15.77,51.41,0
63,5,-91.30,17.43,15.84,0
64,1,-90.14,3.32,6.39,0
65,7,-93.69,26.56,52.63,0
66,9,-92.62,0.00,0.00,0
67,6,-92.36,24.07,88.15,0
68,4,-91.53,15.77,51.41,0
69,6,-92.62,24.07,88.15,0
70,5,-91.49,0.00,0.00,0
71,1,-90.00,0.00,0.00,0
72,1,-90.00,0.00,0.00,0
73,3,-90.77,11.62,35.47,0
74,6,-92.57,24.07,88.15,0
75,3,-90.89,10.38,20.73,0
76,1,-90.30,2.91,4.98,0
77,6,-92.26,21.99,31.15,0
78,1,-90.37,2.91,4.98,0
79,4,-92.06,14.94,37.30,0
80,4,-91.73,13.70,17.73,0
81,1,-90.00,0.00,0.00,0
82,7,-93.59,28.63,124.95,0
83,4,-91.33,12.04,40.78,0
84,4,-90.99,12.87,5.71,0
85,3,-90.90,8.72,3.77,0
86,4,-91.72,14.11,24.04,0
87,9,84.56,36.94,184.71,1
88,5,-91.75,19.92,68.82,0
89,1,-90.00,0.00,0.00,0
90,5,-91.71,15.77,51.41,0
91,3,-91.35,9.96,16.20,0
92,4,-91.12,14.94,37.30,0
93,7,-93.31,27.39,80.67,0
94,8,-93.13,0.00,0.00,0
95,5,-91.92,17.02,7.81,0
96,3,-90.91,11.62,35.47,0
97,4,-91.40,15.77,51.41,0
98,5,-91.41,0.00,0.00,0
99,6,-92.79,24.07,88.15,0
100,5,-91.17,15.77,51.41,0
101,3,-90.80,9.96,16.20,0
102,5,-91.79,15.77,51.41,0
103,7,-93.47,27.39,80.67,0
104,2,-90.55,5.40,6.37,0
105,5,-91.52,0.00,0.00,0
106,4,-91.27,13.28,11.61,0
107,4,-91.42,13.70,17.73,0
108,5,-91.89,19.92,68.82,0
109,5,-90.95,0.00,0.00,0
110,6,-91.76,0.00,0.00,0
111,2,-90.64,6.23,11.52,0
112,1,-90.00,0.00,0.00,0
113,3,-90.98,10.38,20.73,0
114,4,-91.18,15.36,44.25,0
115,6,-92.04,21.16,10.14,0
116,6,-91.72,17.43,15.84,0
117,7,-93.60,28.63,124.95,0
118,5,-91.76,18.26,32.58,0
119,1,-90.00,0.00,0.00,0
120,7,-92.64,26.56,52.63,0
121,4,-91.33,0.00,0.00,0
122,1,-90.00,0.00,0.00,0
123,10,83.85,40.67,194.89,1
124,6,-92.89,24.07,88.15,0
125,1,-90.05,3.32,6.39,0
126,6,-92.59,24.07,88.15,0
127,7,-93.58,27.80,95.13,0
128,1,-90.00,0.00,0.00,0
129,8,86.16,30.29,48.00,1
130,1,-90.00,0.00,0.00,0
131,8,85.98,32.37,134.53,1
132,10,-92.97,0.00,0.00,0
133,4,-91.50,14.94,37.30,0
134,5,-91.93,18.26,32.58,0
135,1,-90.00,0.00,0.00,0
136,5,-91.60,19.09,50.23,0
137,3,-90.86,9.96,16.20,0
138,7,-93.26,26.56,52.63,0
139,5,-91.76,17.43,15.84,0
140,3,-91.00,12.04,40.78,0
141,5,-91.62,18.26,32.58,0
142,4,-91.47,13.70,17.73,0
143,9,84.12,36.52,162.65,1
144,8,86.05,29.46,15.68,1
145,2,-90.21,0.00,0.00,0
146,3,-91.09,8.72,3.77,0
147,6,-93.07,23.24,64.57,0
148,6,-92.10,22.41,42.03,0
149,5,-92.16,17.02,7.81,0
150,14,85.23,20.34,78.47,1
151,3,-90.80,11.62,35.47,0
152,8,-93.47,0.00,0.00,0
153,9,-94.55,31.54,98.91,0
154,4,-91.32,13.28,11.61,0
155,8,85.72,31.96,116.55,1
156,6,-92.07,22.82,53.17,0
157,5,-91.40,15.77,51.41,0
158,2,-90.66,7.06,17.39,0
159,8,85.66,31.54,98.91,1
160,6,-92.37,22.41,42.03,0
161,5,-91.77,19.09,50.23,0
162,7,86.99,27.80,95.13,1
163,6,-92.64,23.24,64.57,0
164,8,85.43,30.71,64.64,1
165,8,85.26,31.12,81.61,1
166,4,-91.48,13.28,11.61,0
167,2,-90.19,6.64,14.36,0
168,8,86.31,30.71,64.64,1
169,12,84.62,12.04,40.78,1
170,3,-90.46,10.38,20.73,0
171,6,-92.56,24.07,88.15,0
172,6,-91.61,0.00,0.00,0
173,2,-90.76,5.40,6.37,0
174,6,-92.64,24.07,88.15,0
175,7,-93.27,0.00,0.00,0
176,9,85.17,33.62,19.03,1
177,8,-93.00,26.14,39.05,0
178,6,-92.78,21.16,10.14,0
179,11,-93.03,14.53,30.57,0
180,8,86.18,30.29,48.00,1
181,6,-91.97,22.82,53.17,0
182,3,-91.29,10.79,25.45,0
183,11,-92.95,5.81,8.85,0
184,2,-90.63,4.98,4.07,0
185,2,-90.21,5.40,6.37,0
186,1,-90.00,0.00,0.00,0
187,6,-92.46,24.07,88.15,0
188,3,-91.11,9.96,16.20,0
189,7,86.80,26.56,52.63,1
190,5,-91.59,0.00,0.00,0
191,6,-92.56,22.41,42.03,0
192,6,-91.75,21.16,10.14,0
193,5,-91.72,19.09,50.23,0
194,3,-90.53,9.13,7.72,0
195,5,-92.23,17.85,24.10,0
196,6,-93.52,23.24,64.57,0
197,5,-91.76,17.02,7.81,0
198,5,-91.76,0.00,0.00,0
199,3,-90.91,8.72,3.77,0
200,6,-92.10,23.24,64.57,0
201,4,-90.98,13.70,17.73,0
202,4,-91.51,15.77,51.41,0
203,8,-92.77,0.00,0.00,0
204,5,-91.72,17.43,15.84,0
205,5,-90.95,15.77,51.41,0
206,8,-93.29,29.46,15.68,0
207,6,-92.34,24.07,88.15,0
208,1,-90.00,0.00,0.00,0
209,10,84.41,37.77,22.87,1
210,3,-90.47,9.55,11.87,0
211,9,85.52,31.96,116.55,1
212,8,85.61,31.96,116.55,1
213,4,-91.29,14.53,30.57,0
214,10,-93.99,11.21,30.36,0
215,9,85.51,34.03,38.43,1
216,2,-90.60,7.47,20.60,0
217,6,-92.60,24.07,88.15,0
218,7,-92.66,0.00,0.00,0
219,8,85.84,32.37,134.53,1
220,6,-91.70,0.00,0.00,0
221,6,-92.52,24.07,88.15,0
222,5,-92.77,17.85,24.10,0
223,5,-92.23,18.68,41.29,0
