Episode,Steps,Reward,AvgSpeed,Energy,Success
1,12,-91.34,18.59,0.00,0
2,10,88.60,49.76,0.00,1
3,2,-90.76,17.02,138.31,0
4,2,-90.48,23.78,30.79,0
5,3,-90.63,43.04,0.00,0
6,3,-90.91,29.05,-34.34,0
7,2,-90.53,8.30,0.00,0
8,3,-91.00,35.56,0.00,0
9,4,-91.31,18.97,0.00,0
10,1,-90.01,29.08,0.00,0
11,2,-90.88,37.35,0.00,0
12,1,-90.00,0.00,0.00,0
13,3,-90.91,43.49,0.00,0
14,5,-90.97,46.49,0.00,0
15,9,-91.29,0.00,0.00,0
16,1,-90.00,20.75,0.00,0
17,7,-91.66,29.41,0.00,0
18,3,-90.88,0.00,0.00,0
19,8,-90.22,23.76,-57.23,0
20,1,-90.00,0.00,0.00,0
21,6,-91.36,29.05,0.00,0
22,12,87.45,52.63,0.00,1
23,200,-41.72,0.00,1.00,0
24,3,-90.51,45.58,0.00,0
25,1,-90.18,8.76,36.66,0
26,1,-90.00,0.00,0.00,0
27,10,87.70,47.39,0.00,1
28,1,-90.08,37.32,0.00,0
29,5,-91.17,37.35,0.00,0
30,13,86.32,38.76,-11.45,1
31,2,-90.36,45.73,0.00,0
32,1,-90.00,0.00,0.00,0
33,1,-90.00,0.00,0.00,0
34,9,-91.22,43.33,0.00,0
35,4,-91.01,53.19,0.00,0
36,4,-90.95,50.50,0.00,0
37,1,-90.00,0.00,0.00,0
38,16,-93.08,37.15,0.00,0
39,4,-90.97,29.05,0.00,0
40,5,-90.88,34.66,0.00,0
41,3,-91.30,43.91,0.00,0
42,4,-91.24,47.58,0.00,0
43,5,-91.57,12.45,0.00,0
44,3,88.84,55.60,207.74,1
45,37,83.29,51.83,0.00,1
46,200,-40.16,0.00,1.00,0
47,2,-90.37,37.72,0.00,0
48,5,-91.37,27.51,0.00,0
49,3,-91.18,24.55,0.00,0
50,5,-90.93,0.00,0.00,0
51,3,-91.23,31.03,-34.34,0
52,2,-90.39,8.30,0.00,0
53,3,-90.63,0.00,0.00,0
54,10,-91.81,22.87,0.00,0
55,1,-90.05,14.87,0.00,0
56,2,-90.30,24.90,-45.78,0
57,1,-90.00,0.00,0.00,0
58,1,-90.00,0.00,0.00,0
59,2,-90.37,6.53,20.57,0
60,6,-90.83,44.20,0.00,0
61,3,-91.62,17.83,121.15,0
62,3,-90.55,47.59,0.00,0
63,9,-91.28,45.14,0.00,0
64,3,89.79,54.44,0.00,1
65,4,-91.32,41.95,0.00,0
66,8,86.59,48.24,0.00,1
67,2,-90.54,11.94,-19.18,0
68,2,-90.60,36.01,0.00,0
69,1,-90.40,17.29,72.57,0
70,3,-90.41,44.93,0.00,0
71,3,-90.53,0.00,0.00,0
72,1,-90.00,0.00,0.00,0
73,8,-91.45,51.37,0.00,0
74,2,-90.54,20.75,0.00,0
75,8,88.07,55.60,207.74,1
76,2,-90.14,37.30,0.00,0
77,1,-90.01,33.20,0.00,0
78,2,-91.00,20.75,0.00,0
79,8,-91.48,31.08,-22.89,0
80,2,-90.45,36.13,0.00,0
81,3,-90.18,0.00,0.00,0
82,7,-91.81,27.23,0.00,0
83,4,-90.88,44.32,0.00,0
84,1,-90.05,24.90,0.00,0
85,1,-90.00,33.20,0.00,0
86,4,-91.04,50.68,0.00,0
87,2,-90.13,41.33,0.00,0
88,2,-90.77,29.05,0.00,0
89,3,-91.08,42.91,0.00,0
90,12,-91.99,33.20,-22.89,0
91,8,-91.63,28.76,0.00,0
92,6,-90.90,49.67,0.00,0
93,1,-90.00,0.00,0.00,0
94,2,-90.70,32.65,0.00,0
95,2,-90.62,21.48,0.00,0
96,1,-90.00,20.75,0.00,0
97,7,87.61,33.55,0.00,1
98,6,-91.39,24.19,13.39,0
99,2,-90.83,25.90,0.00,0
100,2,-90.90,8.30,0.00,0
101,5,-91.53,25.36,0.00,0
102,1,-90.04,10.53,0.00,0
103,2,-90.41,21.70,-45.78,0
104,5,-90.90,55.60,46.17,0
105,5,-90.89,42.91,0.00,0
106,7,-92.23,28.12,0.00,0
107,4,-91.21,24.20,0.00,0
108,10,87.99,20.57,130.07,1
109,1,-90.20,29.05,0.00,0
110,5,-91.34,0.00,0.00,0
111,1,-90.12,29.05,0.00,0
112,6,-91.90,0.00,0.00,0
113,1,-90.13,24.68,0.00,0
114,1,-90.07,23.21,0.00,0
115,6,-91.41,34.52,-34.34,0
116,1,-90.35,20.75,0.00,0
117,8,88.13,32.11,64.65,1
118,3,-90.82,37.75,0.00,0
119,2,-90.78,43.41,133.54,0
120,2,-90.47,20.75,0.00,0
121,7,-91.62,17.12,70.84,0
122,2,-90.67,37.35,-11.45,0
123,5,-90.55,40.97,0.00,0
124,1,-90.08,24.90,0.00,0
125,5,-91.29,38.90,0.00,0
126,4,-90.92,43.99,0.00,0
127,1,-90.00,0.00,0.00,0
128,2,-90.46,19.76,-34.34,0
129,2,-90.34,49.96,0.00,0
130,9,-91.73,41.31,0.00,0
131,3,89.12,55.60,184.66,1
132,1,-90.12,24.90,0.00,0
133,2,-90.77,24.90,0.00,0
134,2,-90.15,31.07,-34.34,0
135,1,-90.00,0.00,0.00,0
136,4,-90.86,4.15,0.00,0
137,3,-91.01,29.05,0.00,0
138,1,-90.01,27.46,0.00,0
139,1,-90.05,15.34,0.00,0
140,2,-90.06,42.91,0.00,0
141,4,-90.93,0.00,0.00,0
142,7,-91.06,10.41,3.54,0
143,5,-91.51,11.55,-42.13,0
144,3,-90.39,28.12,0.00,0
145,200,-41.39,0.00,1.00,0
146,5,-90.74,42.91,0.00,0
147,11,87.05,5.44,13.88,1
148,8,-91.65,44.56,0.00,0
149,4,-91.57,20.93,-22.89,0
150,1,-90.41,24.65,0.00,0
151,3,-90.80,22.33,0.00,0
152,7,-91.37,45.73,0.00,0
153,11,87.70,36.87,-45.78,1
154,8,87.29,28.49,0.00,1
155,10,-92.96,33.55,-18.73,0
156,3,-90.84,33.20,-22.89,0
157,3,-90.85,39.07,0.00,0
158,7,-90.93,18.81,0.00,0
159,6,-91.22,40.49,0.00,0
160,5,-91.14,12.45,0.00,0
161,4,-90.84,3.51,6.20,0
162,7,-91.15,37.35,0.00,0
163,4,-90.71,0.00,0.00,0
164,4,-91.29,0.00,0.00,0
165,5,87.93,54.33,0.00,1
166,1,-90.00,4.15,0.00,0
167,3,-91.11,25.38,0.00,0
168,6,-91.13,50.22,0.00,0
169,1,-90.00,0.00,0.00,0
170,2,-90.98,15.10,-11.35,0
171,3,-90.62,44.32,0.00,0
172,6,-91.49,21.13,0.00,0
173,2,-90.47,33.20,-22.89,0
174,1,-90.00,0.00,0.00,0
175,12,87.50,15.40,-22.89,1
176,6,88.19,43.97,-45.78,1
177,4,89.01,46.82,-103.01,1
178,3,-90.40,20.44,-80.12,0
179,4,-91.17,52.00,-22.89,0
180,9,-92.60,33.41,54.89,0
181,2,-90.63,11.80,-53.65,0
182,3,-90.68,42.91,0.00,0
183,6,-91.25,44.94,-91.56,0
184,5,-91.34,41.31,3.24,0
185,4,-90.64,49.96,0.00,0
186,4,-91.20,40.63,-11.45,0
187,9,-92.50,38.57,0.00,0
188,10,-91.65,26.91,84.36,0
189,7,-91.18,52.78,0.00,0
190,7,-92.03,26.18,0.00,0
191,3,-91.16,55.60,92.33,0
192,6,-91.25,0.00,0.00,0
193,200,-38.80,0.00,1.00,0
194,7,-91.99,10.83,-40.44,0
195,4,-90.59,0.00,0.00,0
196,2,-90.49,27.29,0.00,0
197,4,-91.65,40.53,55.70,0
198,7,-91.18,49.43,0.00,0
199,8,-91.84,38.67,-34.34,0
200,11,86.55,38.09,-45.78,1
201,1,-90.37,27.47,0.00,0
202,10,86.97,52.29,0.00,1
203,1,-90.00,0.00,0.00,0
204,3,-90.76,44.74,0.00,0
205,4,-90.76,8.71,34.52,0
206,5,-90.60,26.94,0.00,0
207,5,-90.87,17.60,0.00,0
208,1,-90.07,24.90,0.00,0
209,8,-91.92,31.08,0.00,0
210,3,-91.11,42.16,0.00,0
211,1,-90.00,0.00,0.00,0
212,1,-90.13,21.01,0.00,0
213,9,-91.67,9.77,1.90,0
214,10,-91.98,25.11,0.00,0
215,6,-91.06,0.00,0.00,0
216,13,88.67,20.75,0.00,1
217,15,86.94,20.04,-80.12,1
218,6,88.75,55.60,115.41,1
219,5,-90.88,20.45,0.00,0
220,4,-90.21,23.22,-45.78,0
221,1,-90.50,37.35,0.00,0
222,3,-90.30,55.60,23.08,0
223,1,-90.00,0.00,0.00,0
224,11,-92.03,20.75,0.00,0
225,14,86.72,47.42,0.00,1
226,10,-91.73,49.47,0.00,0
227,1,-90.00,0.00,0.00,0
228,5,89.11,40.01,0.00,1
229,11,88.24,41.86,108.57,1
230,1,-90.00,0.00,0.00,0
231,2,-90.69,46.30,0.00,0
232,4,-91.29,15.07,109.15,0
