#{"t_start": 1769854650.485002, "env_id": "None"}
r,l,t
-90.37794,3,18.537737
-90.608033,2,23.422067
-90.339879,2,28.888022
-90.0,1,36.443233
-90.293129,5,42.595537
-91.15687,5,51.60026
88.068788,14,55.175694
87.661906,11,58.189905
-92.031907,6,64.043284
88.582026,5,66.840478
-90.825032,2,71.923266
-90.618215,2,80.592229
-91.125754,3,88.896662
-90.347563,2,91.773582
-90.731765,3,97.781121
-90.00425,1,104.458729
-90.0,1,107.160599
-90.046165,1,113.003957
-90.842928,4,115.979639
-91.823275,8,123.321459
-91.660384,6,126.439798
-91.16933,5,129.400198
-90.164742,1,136.507433
-90.513456,3,139.323834
-90.989967,3,147.18847
-91.951277,7,157.29879
-91.618287,8,160.611324
-91.005001,2,166.20876
87.494572,9,170.060737
-90.0,1,180.36731
-90.724627,6,183.745844
-90.966628,3,189.301697
-91.215521,7,192.53635
-90.287525,2,199.094676
-91.225883,3,205.235326
-90.0,1,212.515275
-91.73153,8,215.458006
-90.739594,4,218.198714
-91.637464,8,224.273286
-90.017494,1,230.348519
-90.89186,4,238.273458
-90.300012,2,241.121123
-91.73373,5,244.959476
-90.247131,1,249.919086
-90.039772,1,254.745505
-90.511554,3,262.584347
-90.862318,3,268.648433
-90.862659,4,279.359453
86.553204,11,282.50893
-91.188704,3,285.481801
-90.0,1,292.130142
-90.0,1,299.526088
-91.292757,7,305.685879
-90.512742,3,308.480725
-90.396,2,314.14694
-92.583437,14,317.290881
-90.0,1,324.314271
87.240424,12,327.50197
-90.071053,1,332.277486
-90.034035,1,335.007142
-90.411926,1,337.667578
-91.232081,5,344.15642
-90.0,1,350.148422
-90.868806,2,356.840437
88.183493,4,359.646828
-90.0,1,365.664328
-91.534515,3,368.464564
-92.410052,11,371.468744
-91.549603,7,374.304791
-90.500769,2,380.111756
-90.0,1,386.12155
-93.555586,7,389.025602
-90.111816,1,395.169108
-92.598728,14,402.933909
-90.651622,5,411.852991
-90.721057,2,418.193616
-43.134252,200,675.169728
-90.570944,3,684.033227
-91.561299,3,689.455342
-90.755439,2,692.199485
-90.0,1,697.803314
-92.759913,6,703.445932
-90.0,1,706.105528
-90.0,1,713.676543
-90.0,1,719.52872
-90.0,1,725.873722
-90.463114,3,730.886176
-90.0,1,733.588475
-90.0,1,738.155046
-90.0,1,745.359802
-90.0,1,750.010133
-90.91416,3,755.137253
-90.538403,4,757.97944
-90.0,1,764.092145
-90.0,1,766.773883
-90.656735,2,771.566978
-90.259003,1,776.274805
-90.885392,2,783.858033
-91.712495,7,790.06284
-92.006281,8,793.099455
-90.0,1,799.214664
-91.464159,3,804.24792
-90.941383,4,809.53126
89.105619,5,813.365313
-90.0,1,819.425266
86.989346,13,822.636297
-90.528882,2,825.331386
-91.112801,3,832.156039
-90.856879,3,837.26634
-90.366745,1,839.971682
-90.543423,3,842.695687
-90.678514,3,850.295854
-90.463321,2,855.225159
-91.000201,3,862.142701
-90.0,1,868.920992
-90.000015,1,875.194441
-90.0,1,882.450711
-90.511099,2,887.514339
-90.167231,2,894.226577
-92.187339,10,897.355821
-90.309538,2,904.131051
88.419267,5,906.972837
-91.138362,4,915.402829
-91.253405,7,921.622176
-90.347264,2,924.429416
-90.0,1,930.45426
-90.0578,3,933.241808
-90.245985,5,938.806596
87.643586,8,941.848835
-43.15444,200,1082.236236
-41.373483,200,1224.626456
-90.500908,1,1229.515952
-90.861799,4,1232.302299
-91.144921,3,1237.306975
-91.154423,6,1243.260536
87.330987,12,1247.346926
-90.0,1,1253.36019
-91.668492,5,1256.235605
-90.0,1,1262.752559
-90.0,1,1269.035019
-90.729662,3,1274.044754
-90.295171,3,1282.660967
-41.308095,200,1421.79285
86.182307,20,1425.469327
-90.51144,3,1430.421583
-90.033012,1,1433.147292
-91.092748,5,1435.974467
-90.0,1,1442.080943
-90.0,1,1449.275758
87.448205,14,1452.477679
-90.107928,2,1458.890247
-90.909734,4,1466.247433
-90.847446,2,1471.258414
-90.58462,3,1474.046139
-91.012077,3,1476.795342
-90.649677,3,1480.485059
-91.008748,3,1487.48236
-90.0,1,1493.721701
-90.908047,3,1500.703217
-90.67485,2,1505.657045
-90.0,1,1512.983583
-90.431816,1,1517.734859
-90.0,1,1523.797926
88.157672,6,1526.741511
-90.487083,3,1529.466257
-90.0,1,1533.982227
-90.0,1,1538.598778
-90.0,1,1545.66557
-91.809717,8,1555.100204
-90.502686,1,1557.819227
-43.006116,200,1703.042505
-90.276205,2,1708.316585
-91.023596,6,1712.254413
-90.189609,2,1718.827998
-90.701306,5,1721.677795
-91.015904,4,1727.251302
-90.001236,1,1733.611312
-90.00103,1,1738.268034
-90.0,1,1745.583162
-91.011945,3,1748.381375
-91.267111,4,1751.154379
-90.649695,4,1753.915241
-91.886484,4,1756.64494
-90.415539,2,1763.162798
-92.020501,10,1773.507848
-90.0,1,1780.736644
-90.890991,3,1785.862811
-91.040943,3,1791.106194
-90.0,1,1797.220537
-91.624733,8,1800.221445
-90.379463,1,1806.880152
-90.0,1,1814.004774
-46.094856,200,1958.075851
-90.922267,5,1963.84159
-90.885868,4,1971.517971
-91.010009,3,1976.741235
-90.532774,2,1983.044622
88.015562,7,1985.967364
-90.914692,6,1991.869635
-90.872011,5,1994.782896
-92.375902,8,1997.701359
86.807104,14,2000.931551
-90.0,1,2005.355627
-42.125696,200,2160.281252
-90.0,1,2166.899436
-91.374164,3,2174.311201
-90.357544,1,2182.550148
-90.004791,1,2190.38459
-90.0,1,2197.56349
-90.0,1,2202.46587
-90.0,1,2209.01649
88.433008,9,2213.250604
-90.0,1,2219.952562
-91.162734,6,2229.29682
-90.76286,2,2236.583352
-90.601937,4,2242.204726
-41.369578,200,2393.457857
-91.432506,5,2396.571848
88.288895,8,2399.494328
-91.543556,7,2402.343807
-90.368699,3,2407.500686
-90.062302,2,2410.28203
-91.068861,4,2418.760868
-90.976316,3,2425.736593
-91.819034,7,2428.664997
-91.105166,8,2435.065989
-90.783033,3,2441.890533
-91.112508,2,2444.670155
-91.591937,6,2453.890836
-91.732849,9,2460.563325
-90.0,1,2463.300137
-90.0,1,2469.248353
-90.839641,3,2476.287489
87.5435,15,2480.730768
-90.965154,6,2489.335415
-41.539559,200,2631.865447
87.048004,8,2635.112061
-90.084335,1,2641.414284
-90.0,1,2648.361059
-90.0,1,2654.610483
-91.80105,6,2657.520917
88.621358,7,2660.405664
-90.43293,1,2666.568147
-90.096494,3,2669.323595
87.988515,6,2672.140061
-90.97538,4,2680.496869
-91.035809,4,2683.299898
-90.301198,3,2688.159913
-90.253562,3,2690.888012
-91.064527,4,2698.211825
-91.309028,5,2703.7593
-90.256809,2,2706.513975
-90.872997,5,2712.816349
-91.038562,7,2715.823714
-90.0,1,2721.858724
-91.011104,3,2726.876673
-91.914727,4,2729.711868
-90.0,1,2735.736009
-90.439499,1,2741.970426
89.018239,6,2744.873538
-90.088737,1,2748.447922
-90.086487,1,2751.088831
-91.432847,4,2753.874094
-90.891902,5,2756.622386
-90.598844,3,2761.589924
-90.854341,3,2766.778584
-90.0,1,2772.893452
-90.531013,1,2777.610875
-90.0,1,2783.753671
-90.140106,2,2786.523383
-90.0,1,2792.547043
-90.231228,3,2796.70084
-90.888384,7,2799.667858
-90.081924,1,2804.338753
-91.867731,11,2814.875688
87.112821,12,2818.046382
-42.822167,200,3074.836716
-90.928299,2,3080.227356
-90.849583,5,3083.17506
-90.326854,2,3085.83908
-90.978002,3,3092.884013
89.381665,6,3096.812238
-91.917337,7,3105.45698
-92.774215,11,3112.710183
-90.0,1,3118.870466
-90.751784,3,3121.646595
-90.046326,1,3126.36004
-90.0,1,3133.438377
-90.0,1,3139.448421
-90.768115,2,3144.662066
-90.052841,1,3149.478617
-90.426346,1,3154.28466
-90.331886,2,3162.541449
-90.364519,2,3165.33282
88.281364,7,3168.227037
-93.945511,12,3171.458711
-91.115963,5,3179.941929
-91.123023,4,3185.395408
-90.489229,3,3190.448941
-91.19827,2,3196.365614
-91.331138,7,3199.32475
-90.924744,3,3206.300657
87.823847,7,3209.424708
-90.0,1,3215.746996
-90.0,1,3221.737526
-90.006611,4,3224.518076
-92.409042,13,3227.632113
-43.407699,200,3378.675973
-90.801852,5,3381.81863
-91.716705,9,3384.743354
-91.592972,6,3390.823721
-90.808147,4,3393.670294
-90.0,1,3400.773537
-90.779374,2,3403.529801
-90.0,1,3409.698903
-90.993406,4,3417.393664
-90.964459,6,3423.358509
-90.548504,2,3429.312013
-90.409882,2,3434.274428
-90.0,1,3440.609787
-90.759851,3,3447.954363
-90.0,1,3454.139847
-92.017085,5,3456.992229
-90.87302,8,3464.709789
-90.297737,1,3471.196139
-90.653007,3,3476.546218
-92.23782,10,3479.676479
-91.942139,11,3490.91293
-90.909432,2,3496.807876
-90.612312,3,3499.610894
-89.853242,3,3502.347172
88.624132,5,3505.1284
-90.473618,3,3512.442014
88.042435,6,3515.327568
-90.0,1,3521.462215
-90.679675,6,3530.871476
-42.326213,200,3811.610094
-91.681588,5,3815.055394
-90.625963,2,3819.974489
-91.035924,4,3827.493745
-90.425351,2,3834.827245
-90.424416,1,3841.237366
-90.079976,2,3846.381158
-90.205948,1,3852.505143
-92.459835,11,3864.731919
-90.0,1,3870.883284
-91.783077,7,3873.781468
-90.862981,2,3876.440056
-90.802394,5,3884.309081
-91.8321,10,3887.419275
-90.312278,2,3890.154462
-90.814953,2,3897.864889
-90.797495,4,3900.734334
87.451172,14,3903.917729
-91.562791,10,3910.938894
-90.752348,3,3913.723835
-91.395074,8,3920.094547
-90.916036,2,3924.958532
-90.0,1,3932.182252
-91.15239,4,3937.68997
-91.975861,5,3945.559803
-90.858316,3,3950.800025
-90.947038,2,3957.721514
-90.535249,2,3960.471571
-90.179888,2,3964.079119
-90.0,1,3970.614432
-91.014458,3,3977.906938
87.691786,8,3980.898944
-92.198425,11,3983.983394
-91.294015,4,3989.210043
-91.12143,7,3992.135443
-90.0,1,3999.321778
-93.044147,14,4002.577761
-91.921608,5,4005.343673
-39.974324,200,4151.80854
-91.081782,8,4158.379124
-90.0,1,4165.596354
87.76945,9,4168.637487
-91.213236,4,4173.99908
-90.182487,1,4178.765757
-90.140537,2,4183.703929
-90.988685,3,4189.00076
-47.545979,200,4364.0606
-91.371145,6,4367.380542
-90.982896,4,4370.145643
-90.16486,2,4372.842225
87.911719,6,4375.665571
-91.744242,9,4378.654054
-93.07997,10,4389.093434
-90.642266,3,4394.343116
-90.075737,1,4401.683003
-93.276316,11,4404.796866
-92.803567,14,4417.163813
-91.388611,5,4425.23387
-90.903849,7,4435.701922
-91.886451,6,4441.656568
88.966131,6,4444.578781
-90.0,1,4450.724784
-90.102371,1,4453.530436
-92.105312,6,4459.504194
-90.343288,2,4463.174524
86.095104,23,4466.73512
-91.607389,5,4469.546559
-91.874266,7,4472.391792
-90.775909,4,4479.796587
-91.367181,8,4486.283444
-91.825589,9,4493.045723
-94.269934,20,4503.895041
-91.149468,3,4510.84872
-91.575286,8,4517.208114
-90.951102,7,4520.197984
-91.855671,8,4526.547332
-90.739317,3,4532.646931
-90.99846,2,4537.541471
-90.709183,2,4542.485526
-90.0,1,4548.579737
-91.446038,3,4551.356325
-90.0,1,4557.451461
-90.681452,3,4563.742539
89.362622,6,4566.650792
-90.0,1,4571.100597
-90.534195,1,4577.569747
-91.316135,3,4580.369703
-90.0,1,4584.904207
-91.036739,4,4592.451818
-90.649491,2,4596.135389
-91.775577,8,4602.588307
-91.199544,5,4605.416549
-90.0,1,4611.294299
-90.960092,3,4618.121606
-91.302389,5,4623.737367
-90.0,1,4626.496325
-90.934067,6,4633.225682
-91.637635,7,4636.179893
-94.176211,16,4639.360439
-91.325126,6,4642.176314
-90.643631,4,4644.924023
87.528697,8,4647.831688
-90.530016,3,4652.799768
-91.171011,5,4660.742738
-92.773197,12,4673.530689
-90.0,1,4679.690554
-91.447788,7,4685.772556
-92.898718,8,4688.774386
-90.107812,2,4696.485764
-91.01156,2,4701.491231
88.783904,6,4704.360022
-90.0,1,4710.45581
-90.433504,3,4715.489576
-90.718114,4,4720.799284
-90.0,1,4726.963892
-92.002515,5,4733.36082
-92.195174,9,4740.136679
-90.810015,3,4742.939471
-90.568288,3,4745.640426
-90.0,1,4751.676286
-92.962774,15,4754.947877
-90.95848,4,4760.352156
-91.850058,10,4771.540854
-90.502472,1,4778.082364
-91.316666,4,4783.484229
-91.324945,3,4788.582503
-90.0,1,4795.843347
-90.0,1,4801.866591
88.323138,9,4804.89943
-92.053405,12,4816.38267
87.907853,5,4819.291903
-91.083588,2,4821.992921
-90.779922,2,4826.970358
-90.824351,7,4833.781973
-90.856621,2,4836.487447
-90.730441,3,4839.212541
87.501305,7,4842.065828
-90.134188,2,4846.918077
-92.467077,10,4854.277115
-91.586832,7,4857.300972
-92.074143,13,4860.477676
-90.0,1,4867.297754
-42.501114,200,5020.194192
-90.0,1,5025.470828
-91.691554,7,5032.894113
-91.024667,6,5041.77432
-91.013209,3,5047.189586
-91.523584,4,5050.044329
-90.746661,2,5052.734651
-90.001902,2,5057.664805
-90.393425,2,5063.535902
-92.386124,4,5071.447842
-91.492576,6,5074.367554
-90.0,1,5080.663924
-90.0,1,5087.107587
-90.0,1,5094.937508
-91.292236,3,5100.186479
-90.801229,5,5106.072462
-91.405229,6,5112.251179
-90.00087,1,5114.997415
-90.0,1,5121.20451
-93.587872,16,5335.008287
-90.0,1,5340.830933
-90.0,1,5343.52325
-90.0,1,5349.541027
-90.0,1,5355.777371
88.665946,14,5359.020761
-90.976732,5,5362.690565
-90.0,1,5368.529402
89.438055,5,5371.404176
88.92688,3,5374.125361
-90.003738,1,5378.732328
-90.0,1,5384.766507
86.885525,22,5388.314274
-90.121651,1,5395.473266
87.314379,14,5398.693939
-91.514983,7,5404.718051
88.39618,6,5407.614968
-90.96243,2,5412.339178
-90.0,1,5416.870765
-91.374465,6,5422.552452
-90.865519,3,5430.43921
-90.0,1,5436.442741
-90.681425,3,5441.480979
-93.724835,11,5444.628863
-93.317532,17,5447.879639
-90.537216,1,5450.488943
-91.114599,6,5458.986893
-90.0,1,5465.847963
87.533177,5,5468.654577
-90.0,1,5474.518786
-90.0,1,5477.167789
-90.233322,1,5481.67779
-91.827591,8,5488.148333
-90.990063,2,5495.809777
-91.156906,3,5500.800916
-90.199836,5,5503.614911
-90.694344,4,5506.347322
-94.05353,13,5509.470174
-90.736512,3,5514.677533
-90.601418,1,5517.423717
-90.427911,4,5522.952842
88.327176,14,5527.063121
-90.010139,1,5529.701377
-90.011067,2,5536.128479
-90.0,1,5542.01725
87.642969,7,5544.994123
-90.678466,2,5547.685399
-92.222363,10,5550.711622
